,Text,Date,Mentions,Hashtags,Geolocation
0,Virginia pastor who called coronavirus ‘hysteria’ dies of COVID-19 ,2020-04-19 23:56:45+00:00,,,
1,#SoShallow think everything is about them Ashton Kutcher and Mila Kunis launch Quarantine Wine to support COVID-19 relief efforts ,2020-04-19 23:56:27+00:00,,#SoShallow,
2,Exactly the issue...we are battling an Infodemic as much as a Pandemic. Inside the battle to counteract the COVID-19 'infodemic' ,2020-04-19 23:55:32+00:00,,,
3,Morrison says using COVID-19 tracing app a matter of 'national service' http://dlvr.it/RV4Mgw,2020-04-19 23:55:03+00:00,,,
4,"And yes I can see how Covid would be a factor in getting more of these out, but to say that Nintendo, a multi-billion dollar company might not have resources to port their own classics is a bit hard to swallow. Granted I don’t know everything that goes into all of this (cont.)",2020-04-19 23:54:04+00:00,,,
5,"Thanks for the link – due to the recent global health crisis related to COVID-19, many of our normal content review processes are experiencing delays. Appreciate your patience as we take these steps during this challenging time. We'll get back to you as soon as we can.",2020-04-19 23:53:16+00:00,,,
6,"Condolence po Ate @rodriguezruby I’m also healthcare frontliner here in California &amp; everyday going to work is always kaba for me. i know she is in heaven watching us all, we can do this with God’s guidance. God bless po lahat sa atin &amp; i hope this covid-19 will go away forever",2020-04-19 23:52:08+00:00,@rodriguezruby,,
7,I am taking notes and aspiring to the be leader PM Ardern has proven to be across a range of topics from why GDP is flawed to COVID crisis leadership. ,2020-04-19 23:52:00+00:00,,,
8,"One of the reasons why there is no society-level will to address climate change is that journalists tend to cover it the same way they covered COVID-19 in January. ""It's just the flu"" - ""don't panic""",2020-04-19 23:50:35+00:00,,,
9,"I thought of something Corona themed, but COVID apparently doesn’t really make you sneeze.",2020-04-19 23:48:38+00:00,,,
10,"Are you pregnant during this COVID-19 pandemic? If you are or know someone who is, listen to my live interview (on Instagram) with my friend and former coworker Jessica West! Saturday, April 25th, at 12… https://www.instagram.com/p/B_LnMzxg8Vb/?igshid=sy897o8a5osf",2020-04-19 23:48:19+00:00,,,
11,"It'll take a few days for newly uploaded videos to appear in YouTube Search results. If it doesn't appear after a week, these tips should help: https://yt.be/help/B38h Due to COVID-19, we rely on our system to scan vids &amp; some may not show up until its reviewed by our team.",2020-04-19 23:47:37+00:00,,,
12,I feel like they should also be required to wear a MAGA hat with a biohazard symbol superimposed over the lettering ... for the duration of the crisis(*) ... to duly warn others of exposure. * (or valid negative COVID-19 testing + public renouncement of MAGA),2020-04-19 23:46:52+00:00,,,
13,COVID-19 forces the Tor Project to layoff a third of its staff ,2020-04-19 23:46:13+00:00,,,
14,Of course! After this quarantine is over and COVID-19 is conquered!,2020-04-19 23:44:36+00:00,,,
15,That'll be the name of my new signature finishing move when Covid-19 eventually f*cks off :),2020-04-19 23:44:07+00:00,,,
16,Former US Women’s National Team star Shannon Boxx on living with #lupus amid COVID-19 crisis. ,2020-04-19 23:43:59+00:00,,#lupus,
17,"is no proven “therapy” -current available treatment is to save the life of someone who gets it. If people want to opt out of shelter in place, they should opt-out of covid treatment too plus pay a public health fee bcz it’s not just themselves, it’s their R0 -infection ratio",2020-04-19 23:42:42+00:00,,,
18,COVID-19 has sparked a social media renewal in my world! Time to give twitter another try... Hello!,2020-04-19 23:36:04+00:00,,,
19,Practical tips for #securityteams to thrive during the #COVID-19 crisis. Check in often on #mentalwellness of SOC analysts. Watch:,2020-04-19 23:34:01+00:00,,#securityteams #COVID #mentalwellness,
20,"The Left Resorts To high school name calling as well instead of presenting research and a f**** #CURE — Pure Baloney”: Zoologist Debunks Trump’s COVID-19 Origin Theory, Explains Animal-Human Transmission | Democracy Now! ",2020-04-19 23:29:31+00:00,,#CURE,
21,"Fake News, a novel virus is not coming for labs. Labs viruses have signature, COVID-19 is a totally new virus, not manufactured, Labs around the world already confirmed.",2020-04-19 23:27:51+00:00,,,
22,"yt folks feel like they can do shit like this cause... the most capitalists business man is president, COVID-19 is disproportionately killing black and brown, their access to income or health care may not have been hindered, and oh yeah their privilege period. ",2020-04-19 23:25:30+00:00,,,
23,"Service Update: The Apple AppStore now has ZS6 in almost all regions. The server upgrade is complete and up. For info on accessing our #Telemedicine Checkup(@)Home feature for our fight against #COVID-19 and more about ZS6, please head to https://ZenSnapMD.com",2020-04-19 23:25:16+00:00,,#Telemedicine #COVID,
24,"Conversational #AI might be key to informing citizens about COVID-19 by @AmplifyDotAI CEO, @Mahi:",2020-04-19 23:25:02+00:00,@AmplifyDotAI @Mahi,#AI,
25,"""The COVID-19 crisis shows how little elite Republicans got in exchange for the soul they had to give to Donald Trump."" ",2020-04-19 23:24:22+00:00,,,
26,The deadliest day of COVID-19 in the U. S. is the same day Florida reopens their beaches. Do y’all wanna get through this or not? Stay home.,2020-04-19 23:18:45+00:00,,,
27,"For 100k deaths, you probably only have to wait till some time in June. If people would wear their masks in stores, go alone, and stay apart, policies like this might not need to be considered. On the other hand, COVID-19 will select for intelligence. ",2020-04-19 23:17:53+00:00,,,
28,Instagram founders launch COVID-19 dashboard tracking how fast the virus is growing in each state ,2020-04-19 23:12:34+00:00,,,
29,"I really like it when quality open content gets used on real world challenges, like @Hesperian putting out a Coronavirus — COVID-19 Fact Sheet in more than 20 languages. https://en.hesperian.org/hhg/Coronavirus",2020-04-19 23:08:01+00:00,@Hesperian,,
30,I make a macaroni salad and here comes fluffy seeing if Covid-19 exists absolutely disgusting mannerism taking my food and testing it. Gross pest gross and here comes pests of Hollywood who says I made my food for you my mother is cooking her own food.,2020-04-19 23:06:32+00:00,,,
31,"@BBC #Digital Planet broadcast a fascinating segment on the different types of fraud and scams, like vendor payment diversion, hitting the healthcare industry, as the #COVID-19 pandemic rages on. @armennajarian had this to say: https://bit.ly/3aKr7bo #TrustYourInbox",2020-04-19 23:05:01+00:00,@BBC @armennajarian,#Digital #COVID #TrustYourInbox,
32,"Patients with covid-19 &amp; even recovered patients experience the stigma from others that leads to mental and physical damage. In response to this,WHO's Mental Health Department developed these mental health considerations as support for mental well-being during outbreak. #BeKind",2020-04-19 23:04:53+00:00,,#BeKind,
33,"Context Discriminant Analysis on latest NEWS 2020/04/19 16:01:52 PST Top level Topics -coronavirus,coronavirus,blockchain,blockchain,covid-19,covid-19 https://www.sitefocus.com/cif/elaine/cdnews_20200419_160152.html",2020-04-19 23:01:52+00:00,,,
34,"Complex Event Analysis on latest NEWS: 20200419 1601 PST Top News Focus : (coronavirus,economy,punting,trump), (coronavirus,crisis,economy,trump), (coronavirus,covid-19,positive) https://www.sitefocus.com/cif/elaine/qanews_20200419_160141.html",2020-04-19 23:01:52+00:00,,,
35,Achieving #Productivity and sustainability during COVID-19 via @TechWell #SoftwareTesting https://www.techwell.com/techwell-insights/2020/04/achieving-productivity-and-sustainability-during-covid-19,2020-04-19 23:00:22+00:00,@TechWell,#Productivity #SoftwareTesting,
36,Why 6 feet may not be enough social distance to avoid COVID-19 ,2020-04-19 23:00:07+00:00,,,
37,"Polls show that the COVID-19 crisis, and particularly the EU’s more than hesitant response to it, has soured Italians’ views of the #EuropeanUnion. #CoronavirusOutbreak",2020-04-19 23:00:00+00:00,,#EuropeanUnion #CoronavirusOutbreak,
38,Five people died of COVID-19 after attending an Indiana high school basketball game: 'Too many have gotten sick who were there' ,2020-04-19 22:59:30+00:00,,,
39,@NYCMayor open my churches Greek Catholic Easter No Police Raids? Syracuse Mosque Continues Holding Daily Prayers Amid COVID-19 Lockdown As Christians Are Threatened and Fined For Attending Drive-In Services https://www.thegatewaypundit.com/2020/04/no-police-raids-syracuse-mosque-continues-holding-daily-prayers-amid-covid-19-lockdown-christians-threatened-fined-attending-drive-services/?utm_source=Twitter&amp;utm_medium=PostTopSharingButtons&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,2020-04-19 22:58:16+00:00,@NYCMayor @gatewaypundit,,
40,@NYGovCuomo No Police Raids? Syracuse Mosque Continues Holding Daily Prayers Amid COVID-19 Lockdown As Christians Are Threatened and Fined For Attending Drive-In Services https://www.thegatewaypundit.com/2020/04/no-police-raids-syracuse-mosque-continues-holding-daily-prayers-amid-covid-19-lockdown-christians-threatened-fined-attending-drive-services/?utm_source=Twitter&amp;utm_medium=PostTopSharingButtons&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,2020-04-19 22:57:21+00:00,@NYGovCuomo @gatewaypundit,,
41,"@realDonaldTrump Hey #KingOfSwabs it is NOT just about the #swabs. It is just one piece of the test! There's the vial, medium, labs, and the machines and humans to analyze the results - so its not all about the swab. #TrumpPressConf #COVID__19 #CoronaVirusUpdate #TrumpMadness",2020-04-19 22:56:32+00:00,@realDonaldTrump,#KingOfSwabs #swabs #TrumpPressConf #COVID__19 #CoronaVirusUpdate #TrumpMadness,
42,COVID-19 Forcing Dealers To Follow Tesla's Sales Model: Buyers Like It ,2020-04-19 22:55:40+00:00,,,
43,"You tried and did your part & she read & decided her response. Dont let this upset you, there r other imp things that need your focus. Tho i must say I am appalled by the ignorance and lack of growth mindset of people in this society who are not taking covid 19 seriously .",2020-04-19 22:54:15+00:00,,,
44,California (164K sq miles) is the closest US state to Sweden (174K sq miles) in land mass. But Sweden only has ~10M people. California population is 4x. So Sweden has literally more space for voluntary social distancing than CA. Yet Sweden is suffering a higher covid death rate.,2020-04-19 22:52:00+00:00,,,
45,Should you wear a face mask? Can you catch the virus from your dog? Put your Covid-19 knowledge to the test. ,2020-04-19 22:45:34+00:00,,,
46,"some people are rightly concerned about civil liberties and broader economic fallout of quarantine. maybe the simplest way to frame the problem: if you believe vaccines are required for the measles, you must also believe taiwanese measures or quarantine are required for covid-19.",2020-04-19 22:45:18+00:00,,,
47,Should you wear a face mask? Can you catch the virus from your dog? Put your Covid-19 knowledge to the test. http://np.ly/936D,2020-04-19 22:45:14+00:00,,,
48,"Fantastic visual: See which occupations are most at risk for Covid, and their salary. Healthcare pros are in Green. Orderlies are at high risk and low pay. CEOs are well paid and safe. ",2020-04-19 22:43:48+00:00,,,
49,For whoever needs to hear this: the CDC provides an estimated influenza case burden & death rate yearly. These estimates are scaled up from laboratory confirmed flu cases and historical data. These estimates for COVID-19 do not yet exist. #dontcompare #socialdistance #COVID19 ,2020-04-19 22:43:16+00:00,,#dontcompare #socialdistance #COVID19,
50,Republican Strategist Denounces the Party's Response to COVID-19 | Amanp... https://youtu.be/V93FA12oBCA via @YouTube,2020-04-19 22:43:02+00:00,@YouTube,,
51,Yet another example of where COVID-19 is uncovering serious flaws in our system. Explained in the last line of this article.,2020-04-19 22:38:49+00:00,,,
52,Thank you so much! Your work in putting this data together has helped millions get a better sense of what's going on around the world with Covid-19.,2020-04-19 22:38:16+00:00,,,
53,Trump says WHO didn't share early information about Covid-19. A new report shows that's not the case. ,2020-04-19 22:37:14+00:00,,,
54,The Comprehensive Timeline of China’s COVID-19 Lies | National Review ,2020-04-19 22:32:30+00:00,,,
55,Social distancing at BevMo! to own the CoVid!,2020-04-19 22:31:45+00:00,,,
