X1,id,FINAL_LABEL,text
1,125101e13,IRRELEVANT,i saw someone under that tweet say “nO tAxeS nO cHecK” sir pls choke on your tongue la gente solo habla para hablar… https://t.co/6mzaL5iDYx
2,125014e13,RELEVANT,"🧟‍♂️ 
Scientists Confirm First Case of COVID-19 Transmitted From Corpse https://t.co/VqBxZhspBl via @thedailybeast"
3,125096e13,IRRELEVANT,“The new requirements are bound to make face coverings an inescapable and perhaps jarring sight in New York City fo… https://t.co/cTen23REzZ
4,125083e13,IRRELEVANT,NA
5,12487e14,IRRELEVANT,"🚨ATTENTION #SmallBizDC Community🚨
Join DSLBD (@SmallBizDC) and @DMPEDDC for the Small Business Community TeleTownha… https://t.co/accSP0iAm1"
6,124884e13,IRRELEVANT,🥺 and I want my face in some pussy
7,124981e13,IRRELEVANT,🤣🤣🤣🤣 over two million people did and they are laughing too. https://t.co/vaEjFn53VX
8,124869e13,IRRELEVANT,🚨🚨🔊 Today @GovernorVA signs ✍️in-state tuition for undocumented students at public universities into law. Thank you… https://t.co/Ra0tiY2VBY
9,12498e14,IRRELEVANT,"🚨🚨College Coaches🚨🚨

Bringing your spring eval period to you!

Meet MarQeese Dietz- 2021 ATH
(@marq6szn) 

Contact… https://t.co/ZZVp38P7Rq"
10,124869e13,IRRELEVANT,"🙏❤️Please donate to Feed the Front Lines, as @TwentyTables supports health care heroes and small businesses across… https://t.co/Ozrd9pm7gt"
11,124978e13,IRRELEVANT,"🙏 For Easter Sunday, Father Planning and three of his fellow Jesuits celebrated Mass in our Lady's Chapel on Eye St… https://t.co/DRoN5Edacf"
13,125059e13,IRRELEVANT,😷 Tati just gon sit in her damn vomit...and start eating? Ole stank breath bih #BlackInkCrew
14,124976e13,IRRELEVANT,😭😭😭 Nbs I Look At 3 Stories And Be Irritated... Close The Whole Damn App https://t.co/dmhiKBHhOX
16,125015e13,IRRELEVANT,😢😢😢😢😢 May God give you peace n ability to absorb this shock https://t.co/BVqyUB5xLk
17,125061e13,IRRELEVANT,"😎😎😎😎😎
#panda #pandaexpress @ College Park, Maryland https://t.co/ZuTc9Mp5oA"
18,124921e13,IRRELEVANT,😅 we get so much shit just for existing... https://t.co/5ZvcjNHt4p
20,124955e13,IRRELEVANT,😂😂😂 they funny af talking about Lebron was on live calling his sons Niggas 😹😹 how tf black was y’all household grow… https://t.co/QL95vvAJyD
21,125059e13,IRRELEVANT,😂😂😂 crying at the “weird people” at the end. https://t.co/S7bU8pUfdb
23,125096e13,IRRELEVANT,"🗓On This Date🗓Jerry Dewayne Plaster disappeared on April 16, 1988, from Manassas, VA, after he was dropped him off… https://t.co/b48A5x7Ac6"
24,12508e14,IRRELEVANT,"🔥 Big news!

You can access Washington Consumers’ Checkbook from home with your @ArlingtonVALib card. 

It’s the le… https://t.co/I6uxPt8dnh"
25,12508e14,IRRELEVANT,"📢 During the daily conference of President @lopezobrador_, Doctor @HLGatell, Undersecretary @SSalud_mx, announced t… https://t.co/ygPMMzImTE"
26,125057e13,IRRELEVANT,NA
27,124936e13,IRRELEVANT,🐰⚽️🌷🌻🥚 Happy Easter we wish you and your family Health LET’S GO TEAM!!! #ForAll #CFCMD #Easter2020 #StayHome https://t.co/oVvM2gSGWt
28,125015e13,IRRELEVANT,"🎶 Empty lake, empty streets, the sun goes down alone 🎶 - Boys of Summer but also #COVID19"
29,124952e13,IRRELEVANT,"🎵 Supermarket, oh, what packet of crackers to pick?

They're all the same, one brand, one name, but really they're… https://t.co/kEcKOsJA5C"
30,124919e13,IRRELEVANT,🍽Eating Food my Mother brung me 😩
32,125081e13,IRRELEVANT,"🍓👩‍🍳LIVING | BY | EXAMPLE👩‍🍳🍓🥣 
I’ve been an emotional eater as long as I can remember. That doesn’t change overnig… https://t.co/pt7UpFQ1eJ"
33,124935e13,IRRELEVANT,"🌸Mi~🙈SNeaK P👀K~
L👁👁K what the Easter Bunny 🐇🥕JuST dropped off!!! ~HoPPY Easter❣️
☎️804 382-8176
•
✨✨Gracie’s is off… https://t.co/3ZQ2aZWQnp"
34,125056e13,IRRELEVANT,"🌸Mi~🔥⚡️SALE $225
60”wide, 20”deep, 36”tall
ToNiGHT ONLY ENDS 10p 4/15
📞Call To Purchase 
☎️804 564-6717
•
✨✨Gracie’… https://t.co/WnuEEbbbqa"
35,125055e13,IRRELEVANT,🌸Mi~💐Whos thinking Mother’s Day?~❤️EVERY mother needs a BEAUTiFuL Jewerly Armoire with TONS of storage for all of h… https://t.co/duWNWyeFVW
36,124957e13,RELEVANT,"🇺🇸USA Numbers🚨
 
Infections 560,300 (+27,421)
Dead:           22,105 (+1,528)
 
Sunday, April 12, 2020. The US cele… https://t.co/3T3yB9Ek4y"
37,124867e13,IRRELEVANT,"⬜️⬜️GIVEAWAY⬜️⬜️
🔴🟠🟡🟢🔵🟣
Winner gets my Blue Hennessy Painting for FREE
(Just pay shipping 💕)
🔴🟠🟡🟢🔵🟣
R⬜️U⬜️L⬜️E⬜️Z❕… https://t.co/aMFwh84oqc"
38,124977e13,IRRELEVANT,"➡️ Follow Us ↩️ Contact Us :
WeChat / WhatsApp : +86 185 88680844 #cargoship #google #shippingport #seafreight🚢… https://t.co/SOH0IDRVkV"
39,125081e13,IRRELEVANT,"❤️ healthy @cheerios @ Old Town North, Alexandria https://t.co/yJpvpdcqKL"
41,125101e13,IRRELEVANT,"✨self care check point✨

drink water
wash your face
block your toxic ex
go get some sleep"
42,124912e13,IRRELEVANT,"♫I'm Satisfied by James Brown, from #SoundHound https://t.co/Oi1x2P0EK4"
44,124867e13,IRRELEVANT,"“now, you had some very good people. some very bad people, but some very good people. on both sides” https://t.co/eh6Mxh3Ujs"
45,125011e13,IRRELEVANT,"✨SELF CARE PACKAGES✨

Due to the overwhelming response, I’m scaling up production of the #selfcarepackages to sever… https://t.co/2OYRcfDvgF"
46,124981e13,IRRELEVANT,✨New Spring items Up. Clothing designed to help you increase your Income 💵💳 SHOP @ https://t.co/X456n11R0z Link in… https://t.co/DPVqEKQ5Ri
47,125083e13,IRRELEVANT,"““Come in with me,” she urges the simple. To those who lack good judgment, she says, “Come, eat my food, and drink… https://t.co/h5A9fDf5ZD"
48,124916e13,IRRELEVANT,"“i get $9000 a month plus free childcare, sucks that you only get $2 and gotta take a loan out to see a doctor” “i… https://t.co/XbUIG9rKhA"
49,124976e13,IRRELEVANT,“i don’t even know if i have a social security number” -livvie
51,125086e13,IRRELEVANT,“Top of the head. Hardest part of the body.” Going to watch Gladiator tonight. https://t.co/GZgMOKFOci
52,124866e13,IRRELEVANT,“This index finger smells oddly like pandemic. Odd.” https://t.co/0eMG7TIfD5
53,124882e13,IRRELEVANT,NA
54,124912e13,IRRELEVANT,"“When we lose sight of evil forces at work in the world, we may become overly confident in our own abilities to con… https://t.co/MP8ExiLjNC"
55,125086e13,IRRELEVANT,NA
56,124955e13,IRRELEVANT,“There are so many conditions to unconditional love”
57,124937e13,IRRELEVANT,"“Then the angel spoke to the women. “Don’t be afraid!” he said. “I know you are looking for Jesus, who was crucifie… https://t.co/8SQ1iVplb3"
58,125076e13,IRRELEVANT,“The worst thing about the isolation is that ‘no one hears me.’” -Joe Biden on people feeling ignored by our leader… https://t.co/eExen77M0v
59,12488e14,IRRELEVANT,“The plan would have all 30 teams return to their spring training sites in either Florida or Arizona. Teams would p… https://t.co/mo74WnGzwk
60,124938e13,IRRELEVANT,NA
61,124912e13,IRRELEVANT,“The eyes don’t see what the mind doesn’t know.” @ Washington D.C. https://t.co/VeBRBVJzyc
62,124938e13,IRRELEVANT,NA
63,124882e13,IRRELEVANT,“Stay close to people who feel like sunshine ☀️”
64,125098e13,IRRELEVANT,"“Spread love, it's the Brooklyn way.” Biggie Smalls aka the only Christopher we acknowledge is Wallace! https://t.co/FWof4dAS6g"
65,125095e13,IRRELEVANT,“Some folks?” Name ONE person that would intentionally sacrifice their child for the economy!!! Dr. Oz has official… https://t.co/QVPxHUKm09
66,124913e13,IRRELEVANT,"“So what you marched with King. That was over 20 years ago. People are catching hell all over the place.”

I wonder… https://t.co/Wpi4eunhUm"
67,124868e13,IRRELEVANT,"“So one shortcoming of the online Mass is that it lacks a congregation.  Even more obviously, it lacks the presence… https://t.co/DhwM1Xo4jI"
68,12508e14,IRRELEVANT,“Sleep hygiene” strikes me as one of the weirder terms in the health literature.
69,125012e13,IRRELEVANT,“She Like It Rough When We Fuck So I’m Grabbing That Bitch By The Throat” 🤤
70,125097e13,IRRELEVANT,"“People should reward the best corporate actors—some stores/chains are stepping up.” In other words, vote with your… https://t.co/Hx00PjroGF"
71,125079e13,IRRELEVANT,"“Opportunity is missed by most people because it is dressed in overalls and looks like work.” Thomas Edison 💡

If y… https://t.co/Yz26HE5stI"
73,125012e13,IRRELEVANT,NA
74,124938e13,IRRELEVANT,"“O death, where is thy sting. O grave, where is thy victory!” 1 Corinthians 15:55 

Peace and blessings to you and… https://t.co/CCmpZsOP0v"
75,124936e13,IRRELEVANT,NA
76,125081e13,IRRELEVANT,"“Makin' my way downtown
Walkin' fast, faces pass and I'm homebound” https://t.co/aQVN0124Sw"
79,125081e13,IRRELEVANT,"“If you look at a dancer in silence, his or her body will be the music. If you turn the music on, that body will be… https://t.co/IZINrKM4Xk"
80,124934e13,IRRELEVANT,"“I have said these things to you, that in me you may have peace. In the world you will have tribulation. But take h… https://t.co/tn5aN1O3E2"
81,124914e13,IRRELEVANT,“I don’t care what them don’t know God folks do at yo’ job” #TheClarkSisters
82,124912e13,IRRELEVANT,“I come from a community in Williamsburg where women are not allowed to sing in public.” #UnorthodoxNetflix https://t.co/ZexpWnq41D
84,124919e13,IRRELEVANT,NA
85,125062e13,IRRELEVANT,"“Greatness can’t be achieved by perfection.” 
Richshaad.Ryan
“Ordinary Art for Extraordinary People.”… https://t.co/jkE80ka2oE"
87,12506e14,IRRELEVANT,“Compassionate caretaker” isn’t an urgent enough message for our times.
89,125094e13,IRRELEVANT,"“Chinese diplomacy increasingly reflects the interests of its people...”

It was America that opened world trade to… https://t.co/d05e7QcH3O"
90,124882e13,IRRELEVANT,"“Chicken Noodle soup, choppa cook a nigga shit up” or “Like Fredo do, Alfredo food, *’DRUUUUUUU’* Tomato soup!”"
91,125095e13,IRRELEVANT,NA
93,125099e13,IRRELEVANT,"“Art in Quarantine” 
“Heroes on the Front Lines “
Support doctors and nurses who are fighting the COVID-19
Digital… https://t.co/xAeWhc6oWL"
94,124979e13,IRRELEVANT,"“All y’all wanna do is laugh, laugh, laugh laugh at my pain” - Saucy Santana https://t.co/PIfv9iQPa3"
95,124868e13,IRRELEVANT,"“Actually, RBG and Sotomayor are bad” is certainly a, uh, take of a particular temperature. 

CC @joshchafetz https://t.co/ksScCAb9lT"
96,124953e13,IRRELEVANT,“A lot of people are getting older but not growing up.”
97,125055e13,IRRELEVANT,“...are remaining open to serve our communities under the guidance of health officials.”
98,124955e13,IRRELEVANT,NA
99,12506e14,IRRELEVANT,‘We want to flood media channels’: what’s next for the UN’s Covid-19 creative open brief https://t.co/ZpVD7hUxXE via @thedrum
100,124974e13,IRRELEVANT,y’all really be eating coleslaw 🤢..
101,124976e13,IRRELEVANT,y’all complain about the idiocy of a two-party system but still tweet these SUPER ANNOYING false equivalencies https://t.co/i4EsDdjTwc
102,125087e13,IRRELEVANT,NA
103,124869e13,IRRELEVANT,you show me love that I wish you can show yourself because you are an amazing human
104,12508e14,IRRELEVANT,you can’t force yourself to feel things you don’t feel for people. that’s where toxicity is birthed.
106,125055e13,IRRELEVANT,yooooo why are white claws so sneaky? I poured a mango one in one of those venti SBUX cups with Malibu rum and some oj... I’m feeling it man
107,12506e14,IRRELEVANT,yo remember when people lost their FUCKING MINDS about Michael Phelps’ bong rip
108,125058e13,IRRELEVANT,yes im toxic &amp; no i dnt care
109,124953e13,IRRELEVANT,yall not about to watch insecure in my face like this
110,124953e13,IRRELEVANT,NA
111,125082e13,IRRELEVANT,📢 Chk out this THREAD from @CLASP_DC! #COVID19 funding and policies needed asap for youth and adults impacted by th… https://t.co/uqkUqxTeqM
112,1251e15,IRRELEVANT,"🇺🇸USA Numbers🚨
 
Infections 677,570 (+29,567)
Dead:           34,617 (+2,174)
 
Thursday, April 16, 2020. Western w… https://t.co/npqvxugW3e"
114,124868e13,IRRELEVANT,"“The nonprofit group Stop AAPI Hate has logged more than 1,100 reports of coronavirus discrimination against Asian… https://t.co/eCbaWSHoHP"
115,125098e13,IRRELEVANT,"“The most misleading cliche about the coronavirus is that it treats us all the same. It doesn’t, neither medically… https://t.co/UjLEIstmab"
118,125078e13,IRRELEVANT,"“I just know my brother’s fighting for his life,” she said. “It makes you ask yourself — the disabled and the elder… https://t.co/r8e8HTVT9o"
119,125013e13,IRRELEVANT,‘Equity matters. Centralize equity into your #COVID19 funding and programming. Communities of color are suffering.… https://t.co/8oqRBjXwuY
121,124974e13,IRRELEVANT,this is what social distancing feels like https://t.co/qLAnr3XErp
122,124912e13,IRRELEVANT,they still talking about how they gonna limit items &amp; shit and only let so many people in some places but my mind s… https://t.co/QftTVu9jzt
123,124913e13,IRRELEVANT,so you going out in a pandemic is going to resolve this situations? huh? https://t.co/g7x5Aq4oLM
125,12506e14,IRRELEVANT,saw a bunny on my walk around the block tonight. nature is healing. 🙏 we are the virus. 😔 https://t.co/RUkocvHHsu
127,124913e13,IRRELEVANT,omfg i literally don’t know what to do with myself like ????  ?????  ??????  when i tell you my body feels like it’… https://t.co/Ervn8rxrJJ
128,125082e13,IRRELEVANT,"old dude said “we need to go back to work, let the young ones work” guy responded and said “young people are dying… https://t.co/bqtOcENg9y"
129,125014e13,IRRELEVANT,my cousin was healthy yet still contracted the virus and passed. I thought of no better way to honor his memory tha… https://t.co/oermku48bu
130,124935e13,IRRELEVANT,"meanwhile, affluent white communities on the west side of MoCo—where there are substantially fewer coronavirus case… https://t.co/taqToVs3mp"
131,124881e13,IRRELEVANT,NA
132,125097e13,RELEVANT,"infection rates for the new coronavirus and has seen more than 1,768 residents die, including another 166 people in… https://t.co/rFDdaCPm5O"
133,125084e13,IRRELEVANT,NA
135,125057e13,IRRELEVANT,i am legitimately the closest I have ever been to physically assaulting a stranger over this social distancing shit… https://t.co/MPGFOyQkKW
136,125011e13,IRRELEVANT,"how my work isn’t sending us home is beyond me. running out of work to do, someone was possibly exposed to covid on… https://t.co/nlARdqe1xH"
139,125015e13,RELEVANT,NA
140,124869e13,RELEVANT,as much as i know y’all love these little fabric masks you guys are making and wearing i just want you to know it’s… https://t.co/0uxKWDNHe6
141,12487e14,IRRELEVANT,all this hand sanitizer has my hands looking like reptile skin smh
142,125062e13,IRRELEVANT,Your stupidity and gross negligence is going to cost a lot of people their lives https://t.co/r7J1bC2kgn
143,125093e13,IRRELEVANT,You know you have good friends when they personally deliver your favorite wine to your front porch to ensure you’re… https://t.co/nQ3yzHB6QS
144,125099e13,IRRELEVANT,Yo ... this virus is so...  REAL . Ugh be safe everybody. I got my elders locked up somewhere they not comin our ti… https://t.co/NZ22x0f9Dx
145,124978e13,IRRELEVANT,"Yesterday, we had the opportunity to serve our Ward 8 by partnering to provide over 500 meals to our community. @ S… https://t.co/JmnjXcx5PR"
146,124973e13,IRRELEVANT,Yes Mr. President of America what are you waiting for? Its already half of 500k cases 🤦🏻‍♀️ oh you mean you want it… https://t.co/FQgKqpJ0pJ
147,124979e13,IRRELEVANT,"Yall, please take this virus seriously https://t.co/YskypmKlmB"
148,124879e13,IRRELEVANT,NA
149,1251e15,IRRELEVANT,"Wow, not an Oz fan and his point deserves a better explanation. Will try to give it hear.
1. He is not talking abou… https://t.co/vB4yR4MPuP"
151,124953e13,IRRELEVANT,Work hard to get masks and tests to people suffering. That's it. https://t.co/qpq6ew5DUT
152,124938e13,IRRELEVANT,"With all the science and data driving expert advisors to @POTUS, has anyone heard data regarding rates of infection… https://t.co/2YB1MY58en"
153,124936e13,RELEVANT,"Will DC shut down or cite UHOP for continuing to gather? Note everyone going in and out of the church door, and not… https://t.co/OHEdOKQRhZ"
